"Forest_Perc","Crop_Perc","DSNUM","slope_calc","sed_rate_mm_yr","surface_area_m2"
56.3459184067612,14.1631872104582,"18012",5.47002429955087,9.9,2.600285915
67.5627670288086,3.73314905166626,"18013",9.8133602,12.1,0.0053522943
74.1911759233578,2.77259533946151,"18015",13.5014963379582,10.6,3.4397016
26.329231262207,17.8083801269531,"18018",2.7451501,8.7,0.01049949145
54.910930085423,0.171275799501733,"18901",6.90180389573502,10.8,1.4974563
49.9355339265372,2.3455949876243,"18902",3.08946607480643,5.7,5.6142256
48.8143053443151,1.57485046852468,"19002",8.98899684051916,171.1,0.027922865
10.5184238216055,66.7962961336712,"19003",1.1031570978125,0.9,1.9521295
16.1352904083063,68.6650246683738,"19004",1.52991998387657,2.2,0.889578
6.84441006764866,64.1336707705378,"19005",0.914609124821474,11.8,0.089699115
65.1319274902344,6.92946195602417,"19008",6.4962401,36.6,0.083274385
