dam,period,flux,variation,flux_fmt_CO2-eq,flux_fmt_C,mf_fmt_CO2-eq,mf_fmt_C
Glines Canyon,burp,exposed sediment CH4,"pore emissions, 10 years","975 (-1370, 3000)","21.5 (-30.3, 66.1)","1310 (-1840, 4030)","28.8 (-40.6, 88.7)"
Glines Canyon,burp,exposed sediment CH4,"pore emissions, 30 years","2190 (-4860, 8270)","48.2 (-107, 182)","2940 (-6520, 11100)","64.7 (-144, 244)"
Glines Canyon,burp,drawdown ebullition,0 x annual ebullition,"0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)"
Glines Canyon,burp,drawdown ebullition,5 x annual ebullition,"50.6 (5.6, 95.6)","1.11 (0.123, 2.11)","76.4 (8.46, 144)","1.68 (0.186, 3.18)"
Glines Canyon,burp,drawdown ebullition,10 x annual ebullition,"101 (11.2, 191)","2.23 (0.247, 4.21)","153 (16.9, 289)","3.37 (0.372, 6.36)"
Glines Canyon,burp,drawdown ebullition,25 x annual ebullition,"253 (28, 478)","5.57 (0.617, 10.5)","382 (42.3, 722)","8.41 (0.931, 15.9)"
Glines Canyon,burp,drawdown ebullition,100 x annual ebullition,"1010 (112, 1910)","22.3 (2.47, 42.1)","1530 (169, 2890)","33.7 (3.72, 63.6)"
Glines Canyon,burp,eroded sediment emissions,,"125000 (5470, 564000)","34100 (1490, 154000)","189000 (8260, 852000)","51600 (2250, 232000)"
Glines Canyon,build,river CO2 emissions,,"3520 (458, 12300)","960 (125, 3370)","590 (76.7, 2070)","161 (20.9, 564)"
Glines Canyon,build,river CH4 emissions,,"93.1 (0, 2960)","2.05 (0, 65.2)","15.6 (0, 496)","0.343 (0, 10.9)"
Glines Canyon,build,NEP,average annual integrated over 100 years,"-772 (839, -2380)","-211 (229, -651)","-1040 (1130, -3200)","-283 (308, -873)"
Glines Canyon,build,soil CH4 emissions,,"-33.7 (-72.3, 5.29)","-0.743 (-1.59, 0.116)","-45.3 (-97.1, 7.1)","-0.997 (-2.14, 0.156)"
Glines Canyon,build,tree CH4 emissions,offset by canopy angiosperm,"0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)"
Glines Canyon,build,tree CH4 emissions,whole trunk angiosperm,"225 (-148, 654)","4.94 (-3.26, 14.4)","301 (-199, 879)","6.64 (-4.38, 19.3)"
Glines Canyon,build,tree CH4 emissions,three meters angiosperm,"40.7 (-25.3, 109)","0.897 (-0.556, 2.4)","54.7 (-33.9, 146)","1.2 (-0.747, 3.22)"
