"period","flux","variation","flux_unit","annual","area","mean","ci_lwr","ci_upr","area_m2","mean_area","ci_lwr_area","ci_upr_area","flux_fct"
"burp","eroded sediment emissions",NA,"C","no","reservoir",35.5374150902758,0.8083313838003,170.989086801841,1648901.87482021,58597710.3686197,1332859.13422433,281944225.80135,"eroded sediment emissions"
"build","river CO2 emissions",NA,"CO2-eq","yes","river",3353.75596586955,229.646817693205,14678.8824223866,1503313.81938833,5041747690.34774,345231234.616747,22066966798.7502,"river CO2 emissions"
"build","river CO2 emissions",NA,"C","yes","river",915.214931835795,62.6688998067575,4005.75728000144,1503313.81938833,1375855254.7393,94211023.1253609,6021910276.14155,"river CO2 emissions"
"build","river CH4 emissions",NA,"CO2-eq","yes","river",137.61249872168,55.3860317910676,1136.47500282519,1503313.81938833,206874771.048861,83262586.9925931,1708478577.1365,"river CH4 emissions"
"build","river CH4 emissions",NA,"C","yes","river",3.03052315836765,1.21971952803785,25.0276235586229,1503313.81938833,4555827.34395045,1833621.22227711,37624372.3621266,"river CH4 emissions"
"build","NEP","25","CO2-eq","yes","exposed sediment area",-528.940031649436,-1835.07789935258,777.197836053709,145588.055431883,-77007350.64792,-267165422.932767,113150721.636927,"NEP"
"build","NEP","50","CO2-eq","yes","exposed sediment area",-709.44130455114,-2220.69486164472,801.812252542437,145588.055431883,-103286179.972659,-323306646.614429,116734286.669111,"NEP"
"build","NEP","100","CO2-eq","yes","exposed sediment area",-759.463126861534,-2371.45924100803,852.532987284961,145588.055431883,-110568759.811988,-345256139.434328,124118619.810352,"NEP"
"build","NEP","25","C","yes","exposed sediment area",-144.343780506924,-500.779040473176,212.091479459328,145588.055431883,-21014730.3176896,-72907446.7035339,30877986.0681547,"NEP"
"build","NEP","50","C","yes","exposed sediment area",-193.601228531225,-606.011026774666,218.808569712217,145588.055431883,-28186026.3910845,-88227966.9584023,31855914.1762333,"NEP"
"build","NEP","100","C","yes","exposed sediment area",-207.25180989791,-647.153498852679,232.649879056859,145588.055431883,-30173387.987775,-94217819.4639008,33871043.4883509,"NEP"
"build","soil CH4 emissions",NA,"CO2-eq","yes","exposed sediment area",-7.64496194282879,-44.3884758045862,28.3353759183492,145588.055431883,-1113015.14310719,-6462431.87597489,4125292.27988385,"soil CH4 emissions"
"build","soil CH4 emissions",NA,"C","yes","exposed sediment area",-0.168358502518288,-0.977529694904431,0.624005913120459,145588.055431883,-24510.9869970614,-142316.647408058,90847.807469204,"soil CH4 emissions"
"build","tree CH4 emissions","offset by canopy angio","CO2-eq","yes","exposed sediment area",0,0,0,145588.055431883,0,0,0,"tree CH4 emissions"
"build","tree CH4 emissions","offset by canopy angio","C","yes","exposed sediment area",0,0,0,145588.055431883,0,0,0,"tree CH4 emissions"
"build","tree CH4 emissions","whole trunk angio","CO2-eq","yes","exposed sediment area",180.720608343406,-131.068824287564,502.991579775171,145588.055431883,26310761.9451834,-19082055.2557695,73229565.9980779,"tree CH4 emissions"
"build","tree CH4 emissions","whole trunk angio","C","yes","exposed sediment area",5.31531201010017,-3.85496542022246,14.7938699933874,145588.055431883,773845.939564216,-561236.919287339,2153810.76464935,"tree CH4 emissions"
"build","tree CH4 emissions","three meters angio","CO2-eq","yes","exposed sediment area",33.863532257949,-24.5930962454615,94.4007978323271,145588.055431883,4930125.81148964,-3580461.05942587,13743628.5876268,"tree CH4 emissions"
"build","tree CH4 emissions","three meters angio","C","yes","exposed sediment area",0.995986242880856,-0.723326360160632,2.77649405389198,145588.055431883,145003.700337931,-105307.678218408,404224.370224319,"tree CH4 emissions"
"build","tree CH4 emissions","offset by canopy gymno","CO2-eq","yes","exposed sediment area",0,0,0,145588.055431883,0,0,0,"tree CH4 emissions"
"build","tree CH4 emissions","offset by canopy gymno","C","yes","exposed sediment area",0,0,0,145588.055431883,0,0,0,"tree CH4 emissions"
"build","tree CH4 emissions","whole trunk gymno","CO2-eq","yes","exposed sediment area",0.0528165878452173,-0.030951462753252,0.13849270272968,145588.055431883,7689.46431893241,-4506.16327501831,20162.88328192,"tree CH4 emissions"
"build","tree CH4 emissions","whole trunk gymno","C","yes","exposed sediment area",0.0015534290542711,-0.000910337139801529,0.00407331478616706,145588.055431883,226.160715262718,-132.534213971127,593.025978879998,"tree CH4 emissions"
"build","tree CH4 emissions","three meters gymno","CO2-eq","yes","exposed sediment area",0.0107124502411281,-0.00629738721366765,0.0280420240759111,145588.055431883,1559.60479951664,-916.824358739477,4082.58375558594,"tree CH4 emissions"
"build","tree CH4 emissions","three meters gymno","C","yes","exposed sediment area",0.000315072065915531,-0.000185217270990225,0.000824765413997383,145588.055431883,45.8707293975481,-26.965422315867,120.075992811351,"tree CH4 emissions"
